blockchain,project,version,block_date,block_time,token_bought_symbol,token_sold_symbol,token_pair,token_bought_amount,token_sold_amount,token_bought_amount_raw,token_sold_amount_raw,amount_usd,token_bought_address,token_sold_address,taker,maker,project_contract_address,tx_hash,tx_from,tx_to,trace_address,evt_index,sqrtPriceX96
polygon,uniswap,3,2023-02-04,2023-02-04 12:25:51+00:00,DAI,GNS,DAI-GNS,286.4322513543604,39.07723206962489,2.864322513543604e+20,3.907723206962489e+19,286.5671609447484,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0xe5417af564e4bfda1c483642db72007871397896,0x5403ff98d3084a9a15c831e5b36058fbe977b2f3,,0xba0216254163b57af68b7161cf824dbadcad61df,0x64b187727793703ca83198e0db2063a2b1d8c9835ef000dcfcef95f678e15bc1,0x3bbbbb994592d07b56726b5860cc50bd8cf32927,0x5403ff98d3084a9a15c831e5b36058fbe977b2f3,,31,2.911865527654012e+28
polygon,uniswap,3,2023-02-04,2023-02-04 12:37:45+00:00,DAI,GNS,DAI-GNS,1208.127483755593,164.9137072377169,1.208127483755593e+21,1.649137072377169e+20,1209.11089952737,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0xe5417af564e4bfda1c483642db72007871397896,0x458df878cae2174a294b907df6d4235fa59eaa44,,0xba0216254163b57af68b7161cf824dbadcad61df,0x1fbe68de87d08ec8e4869dbeb9050437a9b413e163dffba9f9eaaae7e7cbe387,0xd4d990402754b0987fdfa364df7b2a3ba9924177,0x458df878cae2174a294b907df6d4235fa59eaa44,,137,2.9131781070069152e+28
polygon,uniswap,3,2023-02-04,2023-02-04 12:37:45+00:00,DAI,GNS,DAI-GNS,1647.1199610423328,225.0774192218356,1.6471199610423327e+21,2.2507741922183555e+20,1648.4607166906214,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0xe5417af564e4bfda1c483642db72007871397896,0x0000900e00070d8090169000d2b090b67f0c1050,,0xba0216254163b57af68b7161cf824dbadcad61df,0x61658fc24421744c6b03ceb3fbb1cbe589dad1586146e5df9405699414b58c53,0x9f36895f663d606c56b7c8f0ad8311063b7a3678,0x0000900e00070d8090169000d2b090b67f0c1050,,284,2.9149695407101765e+28
polygon,uniswap,3,2023-02-04,2023-02-04 12:53:14+00:00,DAI,GNS,DAI-GNS,2293.599975163765,313.8798245136326,2.293599975163765e+21,3.1387982451363263e+20,2296.010548737662,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0xe5417af564e4bfda1c483642db72007871397896,0x0000900e00070d8090169000d2b090b67f0c1050,,0xba0216254163b57af68b7161cf824dbadcad61df,0x702509e1f5a7bf0d5b46e13271f0d4f80e5794c76197e214a6e20256c7faf027,0xd87b97eda623bb815742739271eb264edec77f0f,0x0000900e00070d8090169000d2b090b67f0c1050,,193,2.9174677695345134e+28
polygon,uniswap,3,2023-02-04,2023-02-04 13:18:28+00:00,GNS,DAI,DAI-GNS,33.87537435594788,252.3692780743151,3.3875374355947885e+19,2.523692780743151e+20,239.16014295299203,0xe5417af564e4bfda1c483642db72007871397896,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x8acdb3bcc5101b1ba8a5070f003a77a2da376fe8,,0xba0216254163b57af68b7161cf824dbadcad61df,0x151a68570e86b6c30c5a28c84fb1791341e2fcd39fa6283cb908c530b56182a9,0x1739b308d2232f9987975298c4459b5e51fa272e,0x8acdb3bcc5101b1ba8a5070f003a77a2da376fe8,,27,2.9171954255905305e+28
polygon,uniswap,3,2023-02-04,2023-02-04 13:19:02+00:00,GNS,DAI,DAI-GNS,4105.722351044885,30940.305136785155,4.1057223510448847e+21,3.0940305136785155e+22,28986.39979837689,0xe5417af564e4bfda1c483642db72007871397896,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0xb97cd69145e5a9357b2acd6af6c5076380f17afb,,0xba0216254163b57af68b7161cf824dbadcad61df,0x92902ad0931cf491024eab22ea4339ead3e4193c0e28233224f39c2808927c37,0x5ae4cfad1a656e9be2addc42750015e220fd6524,0x1111111254eeb25477b68fb85ed929f73a960582,,86,2.8841871226790164e+28
polygon,uniswap,3,2023-02-04,2023-02-04 13:28:48+00:00,GNS,DAI,DAI-GNS,196.92146460010096,1502.9410509946924,1.9692146460010096e+20,1.5029410509946925e+21,1396.1731840147158,0xe5417af564e4bfda1c483642db72007871397896,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x63127fabca7b9d962db613ce2ff30d12b2c1a654,,0xba0216254163b57af68b7161cf824dbadcad61df,0x3d8e13eed2ea1ea6b657a8d9a0ec57660b3994925578aa7afdb70dbb9318d8a0,0x9dec3b3a315cd5d60ca3fe1cbc55e87199bfcbc2,0x63127fabca7b9d962db613ce2ff30d12b2c1a654,,478,2.8814899014732787e+28
polygon,uniswap,3,2023-02-04,2023-02-04 13:28:48+00:00,GNS,DAI,DAI-GNS,135.32213491006536,1031.8377174605334,1.3532213491006536e+20,1.0318377174605335e+21,959.4339365123634,0xe5417af564e4bfda1c483642db72007871397896,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x63127fabca7b9d962db613ce2ff30d12b2c1a654,,0xba0216254163b57af68b7161cf824dbadcad61df,0x0031d4efba255798e1fa0fe148c2806846ab14136559546ed0e3d7ab2fc772bf,0xd48cc523d2e7435ef0c40f7da41fe3de86a8c1ee,0x63127fabca7b9d962db613ce2ff30d12b2c1a654,,385,2.883088550028036e+28
polygon,uniswap,3,2023-02-04,2023-02-04 13:28:50+00:00,GNS,DAI,DAI-GNS,360.0716023376436,2752.4499792352653,3.6007160233764356e+20,2.752449979235265e+21,2552.907660573893,0xe5417af564e4bfda1c483642db72007871397896,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x78921d59bc59b2cee169a7d92f851ae3e1dc0e0f,,0xba0216254163b57af68b7161cf824dbadcad61df,0xd8e68fda02be5d049331137dd5943c480f830b33b36c8d8b31be5fdf3bb67685,0x68c93dd2d9c8adaad95f34198a18df31e8b22794,0x78921d59bc59b2cee169a7d92f851ae3e1dc0e0f,,57,2.878566766873121e+28
polygon,uniswap,3,2023-02-04,2023-02-04 13:30:30+00:00,DAI,GNS,DAI-GNS,2337.274361589989,311.922,2.3372743615899889e+21,3.11922e+20,2335.4863467033724,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0xe5417af564e4bfda1c483642db72007871397896,0xb97cd69145e5a9357b2acd6af6c5076380f17afb,,0xba0216254163b57af68b7161cf824dbadcad61df,0x701bf9730f0c42d8660809d51f1f70d5e37506bb7a15d2d83621cd6f8f9da741,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,0x1111111254eeb25477b68fb85ed929f73a960582,,18,2.881073690732105e+28
polygon,uniswap,3,2023-02-04,2023-02-04 13:30:32+00:00,DAI,GNS,DAI-GNS,1058.2683734078744,141.41044015864492,1.0582683734078743e+21,1.4141044015864491e+20,1057.458798102217,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0xe5417af564e4bfda1c483642db72007871397896,0xb97cd69145e5a9357b2acd6af6c5076380f17afb,,0xba0216254163b57af68b7161cf824dbadcad61df,0xa08a22fff9dbfdcdabab2bb42f75abcdaff8fe4d8ef0b4d5f356627b353896b2,0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,0x1111111254fb6c44bac0bed2854e76f90643097d,,10,2.8822102094975117e+28
